Tweet,Annotation,Guideline
RT @catturd2: Apple Co-Founder Steve Wozniak Says Everyone Should Delete Facebook Because Conversations Aren’t Private.   No problem - neve…,Humorous,"Unsure because text cut off, but seems to be ""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
RT @beemyhope_: bruh i will never forget that day when bighit has suddenly dropped the tour dates and ticket selling for sy tour and a lot…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @Criterion: Our Pedro Almodóvar retrospective has begun! ⚡️❤️Get a taste of the films on view—which showcase his unique ability to blend…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @HOBIlIlIll: Why snoop looks like he’s at a fan sign https://t.co/QE5SDXhWD8,Unsure,Don't understand
RT @sparkIy: me at 4am setting my alarm for 6:15 6:30 6:45 and 7:00 https://t.co/jCMD06DBdL,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
RT @MariahCarey: Today’s episode of #MomentsWithMimi is live on my IGTV! @marshmellomusic is Roc &amp; Roe's favorite artist so we decided to s…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Deep State wins again: unelected federal judge rules against Trump on drug pricing disclosures https://t.co/O5PYOdL9Dg #DeepState #BigPharma,Not Humorous,"""Statements that make absolutely no attempt at humour"""
I feel another all nighter coming on,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @Crophugger: Pete Buttigieg Strikes Out on Racism and Police https://t.co/oJ5LOryp4N,Not Humorous,"""Trivia, facts, news headlines"""
"RT @DiivesArt: Please, GIMME 10! 😍💦 #diives #xingzuotemple #xingzuo_temple https://t.co/IkoGpZtqFj",Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @BarstoolRia: Are we going with Pilot Pete or Pete the Pilot? Let’s settle this once and for all #TheBachelorette,Unsure,
RT @OperatorOperatn: Live for the night. Ranked @PlayApex.  https://t.co/bWiyYQIhnW  @UnjustifiedGG,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @RyanDestiny: super exciteddd. love this show! hopefully I fit in ok😬💙 https://t.co/EQCEW8PvA7,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"@Bigseats12 Thank you for the follow! Much appreciated, sorry j missed it right away.",Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @MohamedAlKhoor: Dont ask me why im mad when u don’t have the mental capacity to understand what you did wrong.,Unsure,
RT @DougBowen5: @SenSchumer They are not prisoners and can go back  home if they want. Why can’t Mexico take them?,Unsure,
RT @Unexplained: We got this new guy at work...He’s really nice. https://t.co/oHHqdr3bCu,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@Spiritsncrystal OMG THEYD BE THE ULTIMATE DUO,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @kmaarrie: i wanna travel with you &amp; fuck in every city we go to,Unsure,
RT @YUNGBANS: I can’t beef with no city girl 💁🏾‍♀️ https://t.co/bFc6vt7NwW,Unsure,
"@VP @CBP @HHSGov #potus said, he's been &amp; seen some of the facilities.!? FUCKING BULLSHIT LIE. YOU AND HIM BOTH HAV… https://t.co/U3nbJgKs4t",Not Humorous,"""Statements that make absolutely no attempt at humour"""
@HGlorioso1996 @MizRvnTCB @Becky_Boo274 Soooooper hard 😂🐻,Humorous,"""A tweet containing a 😂 or similar emoji, acronyms like lol, lmao, rofl are most likely humorous"""
RT @btsdistortedvid: yeontan sweetie im so sorry,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Is it weird to be attracted to animated characters? Asking for a friend 😅,Unsure,
RT @aftermovie: So much Hardin ink… Does anyone have an “After” tat? 🖤 #AfterMovie https://t.co/ccVfujMACl,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@minabff apparently. tis wut i hav Heard,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @CosechaMovement: 🔴 LIVE: hundreds of Jewish allies are marching through Chicago in solidarity with undocumented immigrants to demand an…,Not Humorous,"""Trivia, facts, news headlines"""
RT @ChrisMurphyCT: Your afternoon reminder that tomorrow the Trump administration is going to court to overturn protections for 130 million…,Not Humorous,"""Trivia, facts, news headlines"""
"@TaylorLorenz Air-conditioning saves countless lives every year,  you imbecile.  Good god where are they coming fro… https://t.co/EO6VCksvtg",Humorous,"Unsure - ""Tweets that are sarcastic or making fun of things, even possibly a bit offensive.""?"
"RT @solomonbrett: Worth a read - just when journalists needs the internet the most, is often the time when governments deliberately shut it…",Not Humorous,"""Trivia, facts, news headlines"""
Fine Fashion Jewelry Blue Sapphire Size:6 Women's Ring 18K white Gold Filled | eBay  https://t.co/EvlG94Bbx3 https://t.co/5Ff80UF0W7,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @alyssalimp: Me and my gals in college: yaaaas let’s drink this BAG of wine &amp; go DAAAANCING  Me and my gals now: Ok so what you are expe…,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
RT @MariahCarey: Challenge accepted! #bottletopchallenge https://t.co/Rygijd6z5W,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @Stplmstr: Forgot to upload some fusionings so here be some more :D #pokemon #Pokefusions #pokemonfusions https://t.co/DOZ8RWQHqL,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @vinnybrack: This is an act of terrorism  https://t.co/suPplvRFZs,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @Evomanaphy: I heard that Bea is shredded, that she has an eight pack 👀  #PokemonSwordShield https://t.co/vf2bvjFlkb",Not Humorous,"""Statements that make absolutely no attempt at humour"""
Cell Phone Courtesy Month is the perfect time to remind you not to text and drive! https://t.co/GKcJpSn27S,Not Humorous,"""Statements that make absolutely no attempt at humour"""
i'm going to say this one last time...  this is MY twitter account where i can tweet whatever the FUCK i want to. i… https://t.co/02xaf8tJU0,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@barstoolsports @OldRowOfficial @5thYear OH MY GOD. THIS IS @cartereaux 😂😂😂😂😂,Humorous,"""A tweet containing a 😂 or similar emoji, acronyms like lol, lmao, rofl are most likely humorous"""
Look at him I love him https://t.co/IESaa4nom3,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @gauthamrao: Overheard at Whole Foods, Silver Spring   Husband: I didn’t know there was a women’s World Cup.  Wife: say it louder so eve…",Unsure,
@nyalachi yeah.😯,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Ivanka Trump: Viral shot of Donald Trump with daughter and Jeffrey Epstein exposed as hoax https://t.co/OPcHEL80cZ https://t.co/TobgLrykSw,Not Humorous,"""Trivia, facts, news headlines"""
RT @mari23rios: I would leave my keys locked in my car 🤦🏽‍♀️,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
aint got to tell me twiceee,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @ihatejoelkim: When I see a tweet on Instagram it does sometimes feel like someone trying to turn in the same homework assignment for tw…,Unsure,Text cut off
Well Fox... Mexico showed you who is better. https://t.co/KCfsREt9v1,Unsure,
RT @AuntLulie: OR is it because Mueller will not support the summary you wrote or the redacted report or the refusal to issue the full unre…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @Tara4MAGA: Former President Bill Clinton has issued a statement saying he “knows nothing about the terrible crimes Jeffrey Epstein plea…,Not Humorous,"""Trivia, facts, news headlines"""
#JeffreyEpstein #LolitaExpress  Jeffrey Epstein: traveled alongside Bill Clinton and Kevin Spacey https://t.co/6urmoWcIXY,Not Humorous,"""Trivia, facts, news headlines"""
Jeffrey Epstein: Financier charged with sex trafficking minors - BBC News Pleads not guilty because he thought the… https://t.co/nxXKErjh3k,Not Humorous,"""Trivia, facts, news headlines"""
@nvmbwrId @taescosmo that’s harsh,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Love you too 💕💕💕🎼🎧,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"Now I wouldn't say I'm totally manipulative, demanding and in control (fuck I'm all that 💀) But this is how I'm try… https://t.co/1s0c6LndTM",Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
RT @abhishkJntrMnt: God ordered Living Beings to be Vegetarians - Holy Bible Those who eat meat are going against God. #MondayMotivation,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @hsalover: bitches love memo ochoa, it’s me I’m bitches https://t.co/REwUWKhDYs",Unsure,
RT @robinshawkins: eleven in season 1 episode 7 “the bathtub” https://t.co/a6wMDGv8zz,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@yoongitrbll i’m late but 🗿,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Also please don’t send me ccs asking when ems will be sent out or when I’ll be forwarding things from my kaddress e… https://t.co/mbIoqH4w6O,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@OhDapperDan I could see you becoming a professional Dungeon master.,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
@blazeymc91 @shaunjlawson I was a much happier person when I was politically disengaged.,Unsure,
RT @bniceloco: How that McDonald’s sprite be hittin https://t.co/KmTiWEt2fM,Not Humorous,"""Statements that make absolutely no attempt at humour"""
SHOUT OUT TO YOU FOR THIS ONE!!!! https://t.co/R54tADIXC9,Not Humorous,"""Statements that make absolutely no attempt at humour"""
